No,Question,Answer,Complexity
51,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
52,What is the total revenue for SELL_ID 2053?,737510.48,Medium
53,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
54,What is the total revenue for SELL_ID 2051?,486123.62,Medium
55,What is the total revenue for SELL_ID 2053?,737510.48,Medium
56,What is the total revenue for SELL_ID 2052?,333096.08,Medium
57,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
58,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
59,What is the total revenue for SELL_ID 2051?,486123.62,Medium
60,What is the total revenue for SELL_ID 2052?,333096.08,Medium
61,What is the total revenue for SELL_ID 2051?,486123.62,Medium
62,What is the total revenue for SELL_ID 2052?,333096.08,Medium
63,What is the total revenue for SELL_ID 2053?,737510.48,Medium
64,What is the total revenue for SELL_ID 2051?,486123.62,Medium
65,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
66,What is the total revenue for SELL_ID 2053?,737510.48,Medium
67,What is the total revenue for SELL_ID 2052?,333096.08,Medium
68,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
69,What is the total revenue for SELL_ID 2053?,737510.48,Medium
70,What is the total revenue for SELL_ID 2052?,333096.08,Medium
71,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
72,What is the total revenue for SELL_ID 2052?,333096.08,Medium
73,What is the total revenue for SELL_ID 2053?,737510.48,Medium
74,What is the total revenue for SELL_ID 2053?,737510.48,Medium
75,What is the total revenue for SELL_ID 2053?,737510.48,Medium
76,What is the total revenue for SELL_ID 2051?,486123.62,Medium
77,What is the total revenue for SELL_ID 2051?,486123.62,Medium
78,What is the total revenue for SELL_ID 2051?,486123.62,Medium
79,What is the total revenue for SELL_ID 2053?,737510.48,Medium
80,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
81,What is the total revenue for SELL_ID 2052?,333096.08,Medium
82,What is the total revenue for SELL_ID 2051?,486123.62,Medium
83,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
84,What is the total revenue for SELL_ID 2051?,486123.62,Medium
85,What is the total revenue for SELL_ID 2053?,737510.48,Medium
86,What is the total revenue for SELL_ID 2051?,486123.62,Medium
87,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
88,What is the total revenue for SELL_ID 2053?,737510.48,Medium
89,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
90,What is the total revenue for SELL_ID 2052?,333096.08,Medium
91,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
92,What is the total revenue for SELL_ID 2053?,737510.48,Medium
93,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
94,What is the total revenue for SELL_ID 2052?,333096.08,Medium
95,What is the total revenue for SELL_ID 2052?,333096.08,Medium
96,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
97,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
98,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
99,What is the total revenue for SELL_ID 1070?,1662016.88,Medium
100,What is the total revenue for SELL_ID 2052?,333096.08,Medium
